Gene,GeneID,alphaTC,3T3,MDCT,AML12,B16F10,BW51473,C8D1A,EML6,LL2,N1E115,NE_4C,J774A,EML
Maged2,ENSMUSG00000025268.15,20.0163,128.709,25.5262,18.0756,18.3624,19.7938,24.0301,0,25.6726,24.6126,33.5824,8.46562,0
Magee1,ENSMUSG00000031227.8,14.4733,16.7699,2.93691,0.581321,1.33985,1.61047,10.0409,0.397543,3.71961,26.9673,2.87204,0.307893,0.397543
Magee2,ENSMUSG00000031224.6,0,0,0,0,0,0.029924,0,0,0,0,0,0,0
Mageh1,ENSMUSG00000047238.4,51.0797,0,0.70823,0.398978,5.52076,0,0,0,3.53967,40.0104,30.5554,13.834,0
Magel2,ENSMUSG00000056972.6,0,0,0,0,0,0,0,0,0,0.241913,2.24209,0,0
Magi1,ENSMUSG00000045095.16,2.1891,4.23065,5.88638,22.3759,8.02381,10.0299,1.7502,0,7.51378,22.8038,19.2191,3.66573,0
Magi2,ENSMUSG00000040003.18,1.10816,0.245473,0.665998,0.029291,2.90357,0.482017,1.53358,0.218926,0.274309,0.140237,6.36454,0.210336,0.218926
Magi3,ENSMUSG00000052539.15,12.2593,5.03295,20.1322,19.7561,7.46969,5.65472,24.0315,2.44938,6.68826,9.28513,3.28109,1.38493,2.44938
Magix,ENSMUSG00000031147.8,0,0,0,0.210917,2.0494,0.109454,0,0,0,0.256535,0.060908,0.067857,0
Magoh,ENSMUSG00000028609.6,234.007,89.8946,255.662,108.65,144.692,320.637,103.718,315.262,110.791,68.1871,169.835,88.8863,315.262
Magohb,ENSMUSG00000030188.12,60.208,21.9482,40.6456,55.9295,41.9343,0,41.8587,39.2789,24.0424,24.5367,33.5275,19.5108,39.2789
Magt1,ENSMUSG00000031232.17,12.3482,54.664,93.7296,65.7392,66.6382,46.4093,23.8218,53.2322,48.852,26.0138,16.3431,41.2838,53.2322
Maip1,ENSMUSG00000025971.6,11.3022,5.92187,11.049,9.02285,9.274,11.4671,6.7501,7.12714,7.84201,8.73686,9.75301,6.81897,7.12714
Majin,ENSMUSG00000024786.9,0,0.111222,0.082035,0,0,0,0.064327,0,0,0.062738,0,0.44616,0
Mak,ENSMUSG00000021363.14,0,0,0.129272,0,0,0,0,0,0.089913,0,1.65894,1.28198,0
Mak16,ENSMUSG00000031578.5,116.336,59.8485,94.9983,84.5457,73.6744,91.8316,56.9463,76.0453,68.2839,61.101,57.3367,44.9471,76.0453
Mal,ENSMUSG00000027375.14,0,0,2.4169,0.023754,0.029081,0,1.28812,0,0,0,0.448774,0,0
Mal2,ENSMUSG00000024479.3,0,0,0.255122,14.8619,0,0,0,0,0,0,0,0,0
Mall,ENSMUSG00000027377.2,0,0,0,0,0,0,0,0,0.037393,0.219637,0.045956,0,0
Malrd1,ENSMUSG00000075520.5,0,0,0.107312,0.267835,0.011547,0,0,0,0,0,0.054421,0,0
Malsu1,ENSMUSG00000029815.12,13.8199,6.39079,9.07515,8.41741,10.7552,6.63083,6.61371,5.94182,6.99851,7.02046,5.78819,7.23622,5.94182
Malt1,ENSMUSG00000032688.9,5.72672,4.4199,7.47847,9.0937,2.76319,6.56011,4.45998,25.6448,4.50803,2.91345,5.1536,6.52767,25.6448
Mamdc2,ENSMUSG00000033207.7,0,1.11833,0.767707,0.176916,0.116944,0,5.55022,5.87728,0.279824,27.2243,0.811774,0.231926,5.87728
Mamdc4,ENSMUSG00000026941.16,1.8518,0.98437,1.69783,0.914075,0.43804,1.01691,0.59267,1.30855,1.02061,1.92529,1.65054,0.714837,1.30855
Maml1,ENSMUSG00000050567.16,0.072856,5.41655,4.09224,1.90142,1.86233,0.920054,1.83877,1.39004,2.61665,0.569018,1.20368,1.28837,1.39004
Maml2,ENSMUSG00000031925.17,0.092469,12.3315,2.27452,6.13422,2.81604,7.09168,10.514,0.419815,3.69174,1.02974,2.01006,6.59136,0.419815
Maml3,ENSMUSG00000061143.15,1.8365,2.19715,1.6064,1.78344,1.99487,5.58477,4.48423,3.37065,5.45061,4.93992,2.47312,3.02723,3.37065
Mamld1,ENSMUSG00000059401.14,30.9235,1.53032,0.417509,1.05824,1.75664,0,5.27638,0,0.074355,0,1.03573,0.050304,0
Mamstr,ENSMUSG00000042918.17,0,3.98147,0.183413,0,0.217931,0,1.22975,0,0.095536,0.10931,0.34804,0.055433,0
Man1a,ENSMUSG00000003746.16,9.27095,14.4401,5.96077,27.0667,2.32975,6.62489,2.34043,2.28583,30.0069,0,1.55503,10.3035,2.28583
Man1a2,ENSMUSG00000008763.16,16.2871,19.7882,25.0286,13.7236,8.51035,11.9492,17.8011,10.8442,17.053,10.9824,8.62332,13.9199,10.8442
Man1b1,ENSMUSG00000036646.13,48.1175,43.7851,57.2922,30.6025,51.1964,29.4439,30.3964,40.6802,37.3016,59.1988,42.9287,41.7496,40.6802
Man1c1,ENSMUSG00000037306.13,21.0695,22.3014,6.93915,0.046937,7.05468,0,20.7582,1.40747,0.050136,25.735,3.74575,60.5543,1.40747
Man2a1,ENSMUSG00000024085.13,24.6687,53.7993,9.83026,13.8591,13.4815,18.3393,19.3966,21.9366,33.321,10.4122,10.0613,24.7282,21.9366
Man2a2,ENSMUSG00000038886.10,18.1801,44.9621,30.4566,16.6582,23.4953,15.3328,49.719,28.5039,20.7727,28.9489,8.69942,54.9729,28.5039
Man2b1,ENSMUSG00000005142.10,23.8486,58.7742,47.11,33.0694,39.7706,22.1703,19.8799,75.7005,25.39,29.8686,33.0054,246.871,75.7005
Man2b2,ENSMUSG00000029119.9,16.4044,30.0596,34.8288,31.3732,55.5546,18.5368,30.3558,16.4152,18.1441,14.8504,13.5644,82.7993,16.4152
Man2c1,ENSMUSG00000032295.15,8.72438,19.1099,20.4774,21.133,21.9664,10.0961,30.8815,25.7839,11.8855,11.0677,19.4367,25.2969,25.7839
Manba,ENSMUSG00000028164.15,7.92776,2.46121,38.4074,14.9238,16.3497,18.1868,49.2421,23.3735,13.0768,14.0545,27.0236,79.5432,23.3735
Manbal,ENSMUSG00000063019.5,38.5704,81.6976,55.4415,39.3128,38.6509,47.9913,51.8048,22.6166,51.2986,50.7733,21.3464,35.6527,22.6166
Manea,ENSMUSG00000040520.7,7.19107,7.58897,12.1618,8.91135,15.9384,12.6261,23.0442,8.76052,0,3.82221,8.47221,10.807,8.76052
Maneal,ENSMUSG00000042763.9,43.32,0,0,0,0,0,0.107756,0,0,9.8648,6.67934,0,0
Manf,ENSMUSG00000032575.16,312.766,271.058,216.339,239.711,156.382,430.812,163.113,247.352,268.743,130.882,121.336,234.566,247.352
Mansc1,ENSMUSG00000032718.4,0.130248,0.035164,0,5.09405,0,0,0,0.111216,0.031137,0.427402,1.15817,0,0.111216
Mansc4,ENSMUSG00000072662.2,0,0,0,0.064646,0.239931,0,0.071981,0,0,0,0.224196,0,0
Maoa,ENSMUSG00000025037.6,23.8349,37.6508,21.6129,114.687,99.9775,0.158624,38.6061,0.164213,24.59,8.87048,38.3577,4.09207,0.164213
Maob,ENSMUSG00000040147.14,6.97662,0.536736,0.296366,19.5574,0,0.057314,1.33457,0,0.091956,0,0.049208,0,0
Map10,ENSMUSG00000050930.5,0.106671,0,0,0,0,0,0,0,0,0,0,0,0
Map11,ENSMUSG00000036948.17,25.9892,10.0976,17.7351,9.75487,13.4071,14.7832,13.4143,60.6772,12.1046,29.128,15.4896,18.3429,60.6772
Map1a,ENSMUSG00000027254.13,3.20711,14.2402,2.05246,0,2.47663,0.256792,12.7499,0.082357,0.964739,10.0424,5.01407,0,0.082357
Map1b,ENSMUSG00000052727.6,31.1888,9.24034,9.50302,5.52187,8.41051,6.80059,14.7194,0,19.7166,152.111,8.89199,0.568171,0
Map1lc3a,ENSMUSG00000027602.9,71.594,119.831,76.4204,16.9501,58.873,17.0167,35.0046,0.086432,33.8345,32.5194,27.7082,36.5053,0.086432
Map1lc3b,ENSMUSG00000031812.16,216.042,462.535,237.063,221.779,179.728,230.793,105.002,90.5632,163.276,215.021,188.41,157.838,90.5632
Map1s,ENSMUSG00000019261.3,8.54921,21.5205,16.0415,6.90486,6.9763,8.63899,14.4716,13.499,19.624,15.4677,12.1079,11.7292,13.499
Map2,ENSMUSG00000015222.18,97.5589,2.16723,10.5101,1.46395,3.7436,0,5.43127,0,0.344908,21.4422,5.25742,0.16993,0
Map2k1,ENSMUSG00000004936.8,17.8804,98.4452,56.2287,83.861,93.4701,42.3817,99.677,73.9446,56.6402,47.3171,48.1477,114.589,73.9446
Map2k2,ENSMUSG00000035027.18,99.8011,84.4071,137.163,73.687,73.2336,79.7898,83.653,90.1031,79.5325,56.1985,42.9218,65.7313,90.1031
